signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x10840080200C21,92176,154272,47,0x4088100200c44 => 0x88c0100204408,28,0xe400100200842,36,0x8890200003440 => 0x3050800006820,21,0xc000080400c46
0x10840084220C21,89904,145744,54,0x306000c4204820 => 0x208008c4200c18,31,0x10864084200184,38,0x88c0086002380 => 0x8f8004421100,24,0x2300084224421
0x10840080800423,85960,141952,49,0x11080310000c08 => 0x26200808000c4,29,0x210c0100009840,37,0x1030a00108408 => 0x10221000185040,22,0x210003100018c0
0x10840080200421,84584,153594,32,0x4080280400830 => 0x1070000401220,19,0x10840080200421,25,0x810600100444 => 0x18200100204300,14,0x10840080200421
0x10840084220421,80160,138132,37,0x20884084300044 => 0x20c000c4401820,20,0x108400c4200421,25,0x888106200106 => 0x3000884220822,15,0x10844084200421
0x10041080200421,74044,132758,36,0x10180110204040 => 0x51800102110,19,0x20001f00000840,25,0x20440100806100 => 0x450010204208,15,0x10001080007440
0x3DE00000C00,71040,111000,51,0x5a80006604 => 0x18100c4008c200,33,0x20401302003410,40,0x104210005e1000 => 0x61880220083,26,0x430412101090
0x21008100400846,69296,116240,35,0x8980002048c0 => 0x1070000401620,22,0x108600000c3040,27,0x8184000048c1 => 0x1070000401620,16,0x21080280400421
0x3DA00000C08,67472,105640,52,0x30184100840022 => 0x10124000880298,32,0x20401302000c21,40,0x805080006d008 => 0x2054810004288,25,0x10104880800c42
0x3F400000C08,66156,111492,46,0x1e400940102 => 0x16610005808,28,0x20002d0082400c,36,0x2000b0022c0041 => 0x2002702009110,21,0x200c7100200021
0x10800084220421,62864,114096,35,0x20804084300044 => 0x20c000c4401020,21,0xc00086200031,24,0x20804084300044 => 0x44400c4401020,15,0x10840086200408
0x39E00000420,60536,101688,38,0x10180110204440 => 0x51800103110,21,0x30000449842,26,0x20448100408440 => 0x18001480101022,16,0x20009f00000840
0x10840080000423,59884,103216,40,0x2020020008028c => 0x311000800010c0,24,0x33080000400c,30,0x30c00100004220 => 0x8800900000311,18,0x8d8000000421
0x3DA00000C00,58122,92596,48,0x204490020c1000 => 0x104210001a1002,30,0x10500102800c10,37,0x30084280108010 => 0x18202048811,23,0x1002488000d400
0x3FE00000C08,57652,89524,58,0x2000f500041830 => 0x578003040c1,37,0xfe000408842,44,0x220c6010581040 => 0x819a000568100,27,0x3fe0000008c
0x10800080200C21,56120,101384,34,0x30800100002444 => 0x308002004c0008,22,0x300000580023,26,0x40e00800020c0 => 0x8c000002840c0,16,0x10840080200310
0x100C0080800421,55578,95256,42,0x2040100008028c => 0x18800940102,25,0x8419000000421,30,0x11800001c30 => 0x2420080800c08,18,0x10100080800423
0x10800080200421,54368,108328,29,0x10200300400041 => 0x208100200222,19,0x10800080200301,23,0x4000900200444 => 0x8104000040c1,15,0x23000100400021
0x3FE00000420,53688,88072,36,0x201660004c041 => 0x11e400109440,20,0x3fe00000042,25,0x2096210006104 => 0x57800103110,15,0x3fe00000021
0x29E00100420,53448,84780,50,0x2010840014c100 => 0x22500400840110,29,0x61000304421,39,0x8041800146040 => 0x180c1000204440,23,0x2100c00049300
0x39E00000400,52536,91536,34,0x20008800288011 => 0x451000244800,20,0x22000d10000804,25,0x8018800802410 => 0x18001480101002,15,0x20000005c9002
0x10040080200421,51512,99032,31,0x20440080500100 => 0x488000820c0,18,0x18e00000021,23,0x20440080401100 => 0x8008100200106,14,0x500100200421
0x10002800C1C,50820,88984,42,0x20200828000c4 => 0x25080104044,24,0x10104080800184,28,0xd0050000106 => 0x221000c000c008,17,0x3c000049008
0x10001080200421,47064,91172,33,0x8100110204040 => 0x8051000002110,18,0x91000400842,23,0x8001100200444 => 0x4014000810c0,14,0x10100080c00042
0x39A00000420,45708,79632,36,0x18080300008041 => 0x51800101110,21,0x39200000418,25,0x1800030000c041 => 0x8051800100022,15,0x22000100049018
0x10040080800421,45558,87252,32,0x22040080900040 => 0x1800030000c040,18,0x3920000000c,23,0x421080004840 => 0x2090000844008,14,0x20001900040840
0x2DA00000C00,40152,66256,37,0x20810024881 => 0x18400040048810,24,0x2100010125080,29,0x10124010000083 => 0x2044800800203,19,0x10c800840014
0x38000000C1C,36924,60424,45,0x22000280000c44 => 0x18000900000c30,25,0x418000000631,33,0x1800090000088c => 0x420080004c41,20,0x13880004000c
0x2DA00000400,34976,64672,31,0x8041800021800 => 0x2000420000c201,17,0x2400212000090,23,0x8180012001400 => 0x100a1000060004,14,0x8100040840204
0x10840084238C21,34812,55584,62,0x8800c84038823 => 0xc30004238c22,34,0x3048040df020,43,0x3000c44098223 => 0x8800c84038823,26,0x88008c401e620
0x10040080200C01,32576,59744,30,0x10080300003010 => 0x2020480004c00,19,0xa0004000c0210,23,0x190000200203 => 0x2180100002600,14,0x40080007c00
0x10840084238421,31848,53720,36,0x23000884238022 => 0x2080c20409a030,20,0x10000041ff020,25,0x111000407b820 => 0xc0024409e220,15,0x10000041ff020
0x20008100000846,30976,57176,33,0x8050800101008 => 0x2450000004208,18,0x78000000821,24,0x18000200084041 => 0x2440080001102,14,0x10080080005420
0x100C0080000421,30752,56192,31,0x410000004c41 => 0x22000280000c08,19,0x10020080100421,23,0x8000300041022 => 0x2080280101040,15,0x10080080000c22
0x2800C1C,28574,54384,29,0x100c1040000110 => 0x2180010020408,19,0x20010120181,22,0x60002940100 => 0x49002040208,14,0x2024810100100
0x3DE00000401,28096,43928,36,0x18001c80121002 => 0x2000c800388011,21,0x10081280520402,29,0x471000264800 => 0x100c50081282,16,0x8118040806204
0x10040080200401,27152,57412,24,0x2400080401010 => 0x2090000002014,13,0x10080080400402,20,0x10400400080280 => 0x100900200204,11,0x20040100200801
0x10000080800423,26790,50082,29,0xc10000800c2 => 0xc10800000c1,19,0x10008080021c,21,0x8401100040104 => 0x100e0000880020,14,0xc000088001c
