signature,num_vertices,diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x10840080200C21,5769,35,0x51040440803 => 0xcc00884201,20,0xdd000200014,27,0x5680100083 => 0xcc00884201,15,0x4010002fc00
0x10840084220C21,11238,44,0x578003040c0 => 0xf500041830,24,0x7f800240040,33,0x720122008c4 => 0x20c104007c20,19,0x1fe00000043
0x10840080800423,21490,43,0x20ca00084220 => 0x558001040c0,24,0x6c000248101,32,0x50840048218 => 0x190012000223,19,0xda000c000c
0x10840080200421,5337,26,0x51000260804 => 0xc400884201,15,0x22d200000042,20,0x41100421082 => 0x45100400206,11,0xdf00000800
0x10840084220421,10060,32,0x57000142110 => 0x57800102110,17,0x1fe00000300,21,0x63080421102 => 0x53840042110,12,0x1fe00000042
0x10041080200421,18551,33,0x51800102110 => 0x55000101110,18,0x1ce00000300,22,0x61880020102 => 0x55000101110,13,0xde00000021
0x3DE00000C00,4459,42,0x5a80006604 => 0x48840886204,23,0x1de00000214,33,0xcf0000c201 => 0x184110400c11,18,0x1de00000214
0x21008100400846,4338,27,0x41900023880 => 0x45100401602,16,0xdf00000880,20,0x55000440811 => 0x41900220882,12,0x1ec0000601
0x3DA00000C08,16894,48,0x9c40005608 => 0x40850081298,28,0x59000200631,37,0x8c4000d608 => 0x219800100443,22,0x7c000200423
0x3F400000C08,8282,39,0xc30c0204440 => 0xf500041030,22,0x2002011ad008,29,0x7680100103 => 0x2712000231,17,0xc7080400302
0x10800084220421,7858,28,0x7480105100 => 0x57000102110,16,0xff00000040,20,0x56010102110 => 0x478000820c0,12,0x76010200840
0x39E00000420,15134,33,0x6c8000820c0 => 0x51800142110,18,0x7d000000421,24,0x51840041110 => 0x61880020182,14,0x6d000200842
0x10840080000423,14971,36,0x5280101082 => 0x458001040c0,20,0x680000631,26,0x61002180081 => 0x1840080291,15,0xda0000008c
0x3DA00000C00,14563,46,0x59800060804 => 0x1b00003890,25,0xda0000028c,35,0x1b00003890 => 0x61880020c04,20,0x1ce00000094
0x3FE00000C08,7218,49,0x308900278801 => 0x7600014b110,28,0x3e8012440c,38,0x186110400391 => 0xef0000c301,21,0x3e80124421
0x10800080200C21,3534,29,0x40900822c00 => 0x16000a1082,16,0x400002e8003,21,0x1880220083 => 0x18c0006204,12,0xd6000c0001
0x100C0080800421,9263,37,0x40910000c44 => 0x8c40005408,20,0x610005380,26,0xc8100021408 => 0xcc0001020c0,15,0x1e00000c41
0x10800080200421,3411,25,0x14000a1082 => 0x41900022080,13,0x55000200014,17,0x51800022080 => 0x1900220082,10,0x5680000802
0x3FE00000420,6711,32,0x57800103110 => 0x57800142110,17,0x7f000200421,23,0x57000143110 => 0x196000509440,13,0x23da0100000c
0x29E00100420,8908,41,0x48900048818 => 0x8c40005608,23,0xe00149042,32,0x4c100041818 => 0x50840041218,18,0x29e00004021
0x39E00000400,13134,30,0x61800060808 => 0xc200508410,17,0x78000200221,23,0x58040800881 => 0x41900020882,13,0x180080824404
0x10040080200421,12918,28,0x50040800890 => 0x48900022080,16,0x1ce00000002,21,0x41080021082 => 0x49002100041,12,0x5a000c0010
0x10002800C1C,12734,34,0xc8100028408 => 0x5200441220,20,0x1a8002400c,24,0xd0050000106 => 0x5400040223,15,0x1602000c0c
